time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-31T23:59:24.000Z,35.9486667,-119.9696667,7.81,1.54,md,20,146,0.2495,0.05,nc,nc73918871,2023-08-01T02:11:11.822Z,"7 km S of Kettleman City, CA",earthquake,0.32,1.41,0.208,19,reviewed,nc,nc
2023-07-31T22:06:25.269Z,35.531,-96.76616667,8.92,1.76,ml,82,56,0.1223759857,0.22,ok,ok2023oxex,2024-01-18T20:36:19.459Z,"8 km WNW of Prague, Oklahoma",earthquake,,1.4,0.25,46,reviewed,ok,ok
2023-07-31T21:36:25.410Z,35.8541667,-117.6848333,9.21,1.5,mh,16,116,0.07939,0.11,ci,ci39626466,2023-07-31T23:54:41.693Z,"22 km ESE of Little Lake, CA",earthquake,0.25,0.53,,0,reviewed,ci,ci
2023-07-31T21:29:07.933Z,32.83538818,-100.9445265,5.25777181,3.1,ml,23,65,0.0404942445,0.2,tx,tx2023oxdt,2023-10-07T21:38:55.040Z,"western Texas",earthquake,0.6550395879,1.246719888,0,7,reviewed,tx,tx
2023-07-31T21:18:32.601Z,31.95007324,-102.3282679,6.798421224,1.8,ml,24,65,0.005803918051,0.2,tx,tx2023oxdi,2023-08-01T14:24:51.139Z,"9 km SSE of Gardendale, Texas",earthquake,0.7566549126,0.8468532996,0,7,reviewed,tx,tx
2023-07-31T21:07:29.071Z,31.6763739,-104.4312567,6.234399414,2.6,ml,17,54,0.006026507768,0.1,tx,tx2023oxcz,2023-10-07T21:38:55.040Z,"55 km S of Whites City, New Mexico",earthquake,0.8972550894999999,0.556445544,0.1,28,reviewed,tx,tx
2023-07-31T19:13:11.910Z,48.20883333333333,-117.86366666666666,-0.99,1.79,ml,13,133,0.1431,0.75,uw,uw61936692,2024-01-18T20:36:16.000Z,"10 km WNW of Valley, Washington",explosion,1.35,31.61,0.2479464610637674,9,reviewed,uw,uw
2023-07-31T19:10:44.470Z,46.1746666666667,-115.3345,5.52,1.84,ml,18,85,0.8392,0.23,mb,mb90022953,2023-07-31T19:26:31.730Z,"Northern Idaho",earthquake,0.4,1.58,0.179956487402962,21,reviewed,mb,mb
2023-07-31T18:54:52.052Z,37.0577,-117.4761,5.7,2,ml,11,180.32,0.107,0.208,nn,nn00863769,2023-07-31T20:06:18.637Z,"65 km WNW of Beatty, Nevada",earthquake,,3.1,0.31,5,reviewed,nn,nn
2023-07-31T18:37:01.450Z,37.7268333,-112.6348333,8.17,1.67,ml,10,89,0.382,0.22,uu,uu60546637,2023-07-31T19:39:53.430Z,"19 km E of Brian Head, Utah",earthquake,0.67,3.32,0.102,10,reviewed,uu,uu
